[2026-07-26T02:50:11.819Z] GET http://localhost:5178/ → 200 (4ms, 822B)
[2026-07-26T02:50:11.826Z] GET http://localhost:5178/@vite/client → 200 (7ms, 209723B)
[2026-07-26T02:50:11.826Z] GET http://localhost:5178/src/main.tsx?t=1785034203040 → 200 (6ms, 1645B)
[2026-07-26T02:50:11.826Z] GET http://localhost:5178/@react-refresh → 200 (9ms, 111894B)
[2026-07-26T02:50:11.832Z] GET http://localhost:5178/node_modules/.vite/deps/react.js?v=789b2efc → 200 (4ms, 130087B)
[2026-07-26T02:50:11.832Z] GET http://localhost:5178/node_modules/.vite/deps/react-dom_client.js?v=ebdb6242 → 200 (38ms, 2819303B)
[2026-07-26T02:50:11.832Z] GET http://localhost:5178/src/index.css?t=1785034203040 → 200 (18ms, 59972B)
[2026-07-26T02:50:11.832Z] GET http://localhost:5178/src/App.tsx?t=1785034203040 → 200 (18ms, 16929B)
[2026-07-26T02:50:11.832Z] GET http://localhost:5178/node_modules/.vite/deps/react_jsx-dev-runtime.js?v=789b2efc → 200 (23ms, 34713B)
[2026-07-26T02:50:11.833Z] GET http://localhost:5178/node_modules/vite/dist/client/env.mjs → 200 (16ms, 3478B)
[2026-07-26T02:50:11.836Z] GET http://localhost:5178/node_modules/.vite/deps/rolldown-runtime-B-1-B7_t.js?v=abd52dc4 → 200 (13ms, 7626B)
[2026-07-26T02:50:11.850Z] GET http://localhost:5178/src/components/dither-kit/index.ts → 200 (5ms, 4187B)
[2026-07-26T02:50:11.850Z] GET http://localhost:5178/src/components/chat/ChatPanel.tsx → 200 (10ms, 23982B)
[2026-07-26T02:50:11.851Z] GET http://localhost:5178/src/components/modals/ModalHost.tsx → 200 (10ms, 4566B)
[2026-07-26T02:50:11.851Z] GET http://localhost:5178/src/components/overview/Overview.tsx → 200 (14ms, 40835B)
[2026-07-26T02:50:11.851Z] GET http://localhost:5178/src/components/SignIn.tsx?t=1785034203040 → 200 (14ms, 17772B)
[2026-07-26T02:50:11.851Z] GET http://localhost:5178/src/components/ui/PersonAvatar.tsx → 200 (16ms, 19740B)
[2026-07-26T02:50:11.851Z] GET http://localhost:5178/src/components/ui/Badge.tsx → 200 (14ms, 5387B)
[2026-07-26T02:50:11.851Z] GET http://localhost:5178/src/data/people.ts → 200 (15ms, 11343B)
[2026-07-26T02:50:11.852Z] GET http://localhost:5178/src/state/app-state.tsx → 200 (15ms, 9136B)
[2026-07-26T02:50:11.856Z] GET http://localhost:5178/src/components/dither-kit/area.tsx → 200 (11ms, 12121B)
[2026-07-26T02:50:11.856Z] GET http://localhost:5178/src/components/dither-kit/area-chart.tsx → 200 (12ms, 4436B)
[2026-07-26T02:50:11.857Z] GET http://localhost:5178/src/components/dither-kit/avatar.tsx → 200 (12ms, 20109B)
[2026-07-26T02:50:11.857Z] GET http://localhost:5178/src/components/dither-kit/bar.tsx → 200 (13ms, 9720B)
[2026-07-26T02:50:11.857Z] GET http://localhost:5178/src/components/dither-kit/bar-chart.tsx → 200 (14ms, 3390B)
[2026-07-26T02:50:11.857Z] GET http://localhost:5178/src/components/dither-kit/block-legend.tsx → 200 (11ms, 7675B)
[2026-07-26T02:50:11.857Z] GET http://localhost:5178/src/components/dither-kit/button.tsx → 200 (14ms, 20737B)
[2026-07-26T02:50:11.858Z] GET http://localhost:5178/src/components/dither-kit/dot.tsx → 200 (13ms, 9875B)
[2026-07-26T02:50:11.858Z] GET http://localhost:5178/src/components/dither-kit/gradient.tsx → 200 (13ms, 15600B)
[2026-07-26T02:50:11.858Z] GET http://localhost:5178/src/components/dither-kit/grid.tsx → 200 (13ms, 5322B)
[2026-07-26T02:50:11.858Z] GET http://localhost:5178/src/components/dither-kit/legend.tsx → 200 (13ms, 8847B)
